size,sort_type,input_type,micro_time,comparisons
90,hybrid,random,0,2107.5
91,insertion,ascending,0,90
91,merge,ascending,0,321
91,hybrid,ascending,0,90
91,insertion,descending,19.94,4185
91,merge,descending,0,279
91,hybrid,descending,0,4185
91,insertion,random,19.96,2121.04
91,merge,random,0,482.64
91,hybrid,random,19.92,2148.26
92,insertion,ascending,0,91
92,merge,ascending,0,324
92,hybrid,ascending,0,91
92,insertion,descending,0,4277
92,merge,descending,19.94,284
92,hybrid,descending,0,4277
92,insertion,random,19.94,2168.16
92,merge,random,20.58,488.3
92,hybrid,random,0,2169.98
93,insertion,ascending,0,92
93,merge,ascending,0,328
93,hybrid,ascending,39.28,92
93,insertion,descending,0,4370
93,merge,descending,0,288
93,hybrid,descending,0,4370
93,insertion,random,0,2240.02
93,merge,random,40.82,494.56
93,hybrid,random,0,2269.6
94,insertion,ascending,0,93
94,merge,ascending,0,331
94,hybrid,ascending,0,93
94,insertion,descending,0,4464
94,merge,descending,0,293
94,hybrid,descending,39.6,4464
94,insertion,random,0,2252.24
94,merge,random,19.28,501.24
94,hybrid,random,0,2264.1
95,insertion,ascending,0,94
95,merge,ascending,0,334
95,hybrid,ascending,0,94
95,insertion,descending,19.92,4559
95,merge,descending,0,298
95,hybrid,descending,0,4559
95,insertion,random,0,2330.76
95,merge,random,39.88,508.56
95,hybrid,random,0,2327.66
96,insertion,ascending,0,95
96,merge,ascending,39.88,336
96,hybrid,ascending,0,95
96,insertion,descending,39.86,4655
96,merge,descending,0,304
96,hybrid,descending,0,4655
96,insertion,random,0,2339.94
96,merge,random,0,515
96,hybrid,random,0,2383.1
97,insertion,ascending,0,96
97,merge,ascending,0,342
97,hybrid,ascending,0,96
97,insertion,descending,0,4752
97,merge,descending,19.94,306
97,hybrid,descending,0,4752
97,insertion,random,19.32,2486.88
97,merge,random,41.1,521.74
97,hybrid,random,0,2410.66
98,insertion,ascending,0,97
98,merge,ascending,0,347
98,hybrid,ascending,0,97
98,insertion,descending,0,4850
98,merge,descending,0,309
98,hybrid,descending,0,4850
98,insertion,random,19.98,2442.52
98,merge,random,19.84,527.1
98,hybrid,random,19.96,2471.92
99,insertion,ascending,0,98
99,merge,ascending,0,352
99,hybrid,ascending,0,98
99,insertion,descending,39.86,4949
99,merge,descending,0,312
99,hybrid,descending,0,4949
99,insertion,random,19.94,2509.74
99,merge,random,19.96,535.5
99,hybrid,random,0,2495.68
100,insertion,ascending,0,99
100,merge,ascending,0,356
100,hybrid,ascending,0,99
100,insertion,descending,19.94,5049
100,merge,descending,0,316
100,hybrid,descending,0,5049
100,insertion,random,19.94,2567.9
100,merge,random,19.94,542.2
100,hybrid,random,0,2585.96
101,insertion,ascending,0,100
101,merge,ascending,40.04,361
101,hybrid,ascending,0,100
101,insertion,descending,0,5150
101,merge,descending,0,319
101,hybrid,descending,20.28,5150
101,insertion,random,0,2620.38
101,merge,random,19.8,550.64
101,hybrid,random,19.56,2651.12
102,insertion,ascending,0,101
102,merge,ascending,19.94,365
102,hybrid,ascending,0,101
102,insertion,descending,0,5252
102,merge,descending,0,323
102,hybrid,descending,0,5252
102,insertion,random,0,2702.4
102,merge,random,39.92,555.66
102,hybrid,random,19.94,2649.66
103,insertion,ascending,0,102
103,merge,ascending,19.96,369
103,hybrid,ascending,0,102
103,insertion,descending,19.9,5355
103,merge,descending,19.9,327
103,hybrid,descending,0,5355
103,insertion,random,19.96,2723.1
103,merge,random,19.94,563.46
103,hybrid,random,0,2707.98
104,insertion,ascending,0,103
104,merge,ascending,0,372
104,hybrid,ascending,0,103
104,insertion,descending,20.8,5459
104,merge,descending,19.92,332
104,hybrid,descending,19.98,5459
104,insertion,random,0,2761.5
104,merge,random,19.28,568
104,hybrid,random,19.92,2802.76
105,insertion,ascending,0,104
105,merge,ascending,18.86,377
105,hybrid,ascending,0,104
105,insertion,descending,0,5564
105,merge,descending,19.94,335
105,hybrid,descending,20.12,5564
105,insertion,random,0,2864.76
105,merge,random,19.94,575.26
105,hybrid,random,0,2869.6
106,insertion,ascending,0,105
106,merge,ascending,20.22,381
106,hybrid,ascending,0,105
106,insertion,descending,19.94,5670
106,merge,descending,0,339
106,hybrid,descending,20.04,5670
106,insertion,random,19.18,2899.54
106,merge,random,0,582.72
106,hybrid,random,19.94,2891.6
107,insertion,ascending,0,106
107,merge,ascending,0,385
107,hybrid,ascending,0,106
107,insertion,descending,20.32,5777
107,merge,descending,19.94,343
107,hybrid,descending,19.3,5777
107,insertion,random,19.94,2936.1
107,merge,random,19.94,590.12
107,hybrid,random,0,2928.48
108,insertion,ascending,0,107
108,merge,ascending,19.3,388
108,hybrid,ascending,0,107
108,insertion,descending,0,5885
108,merge,descending,0,348
